1971, 15
1972, 16
1973, 18
1974, 29
1975, 39
1976, 44
1977, 53
1978, 65
1979, 74
1980, 85
1981, 92
1982, 108
1983, 127
1984, 136
1985, 4.15
1986, 4.17
1987, 4.19
1988, 4.18
1989, 4.22
1990, 4.25
1991, 4.29
1992, 4.35
1993, 4.40
1994, 4.42
1995, 4.44
1996, 4.47
1997, 4.51
1998, 4.54
1999, 4.58
2000, 4.63
2001, 4.65
2002, 4.70
2003, 4.72
2004, 4.74
2005, 4.78
2006, 4.81
2007, 4.84
2008, 4.85
2009, 4.91
2010, 4.97
2011, 4.99
2012, 39.1
2013, 38.8
2014, 38.8
2015, 38.7
2016, 38.6
2017, 38.6
2018, 38.5
2019, 38.4
2020, 38.4
