[1971, 'Australia', 'England', 'Melbourne', 'ODI # 1', 'Australia', '5 wickets', 'Jan 5, 1971', 64148]
[1972, 'England', 'Australia', 'Manchester', 'ODI # 2', 'England', '6 wickets', 'Aug 24, 1972', 64944]
[1972, 'England', 'Australia', "Lord's", 'ODI # 3', 'Australia', '5 wickets', 'Aug 26, 1972', 64945]
[1972, 'England', 'Australia', 'Birmingham', 'ODI # 4', 'England', '2 wickets', 'Aug 28, 1972', 64946]
[1973, 'New Zealand', 'Pakistan', 'Christchurch', 'ODI # 5', 'New Zealand', '22 runs', 'Feb 11, 1973', 64149]
[1973, 'England', 'New Zealand', 'Swansea', 'ODI # 6', 'England', '7 wickets', 'Jul 18, 1973', 64947]
[1973, 'England', 'New Zealand', 'Manchester', 'ODI # 7', 'Draw', 'Draw', 'Jul 20, 1973', 64948]
[1973, 'England', 'West Indies', 'Leeds', 'ODI # 8', 'England', '1 wicket', 'Sep 5, 1973', 64949]
[1973, 'England', 'West Indies', 'The Oval', 'ODI # 9', 'West Indies', '8 wickets', 'Sep 7, 1973', 64950]
[1974, 'New Zealand', 'Australia', 'Dunedin', 'ODI # 10', 'Australia', '7 wickets', 'Mar 30, 1974', 64150]
[1974, 'New Zealand', 'Australia', 'Christchurch', 'ODI # 11', 'Australia', '31 runs', 'Mar 31, 1974', 64151]
[1974, 'England', 'India', 'Leeds', 'ODI # 12', 'England', '4 wickets', 'Jul 13, 1974', 64951]
[1974, 'England', 'India', 'The Oval', 'ODI # 13', 'England', '6 wickets', 'Jul 15-16, 1974', 64952]
[1974, 'England', 'Pakistan', 'Nottingham', 'ODI # 14', 'Pakistan', '7 wickets', 'Aug 31, 1974', 64953]
[1974, 'England', 'Pakistan', 'Birmingham', 'ODI # 15', 'Pakistan', '8 wickets', 'Sep 3, 1974', 64954]
[1975, 'Australia', 'England', 'Melbourne', 'ODI # 16', 'England', '3 wickets', 'Jan 1, 1975', 64152]
[1975, 'New Zealand', 'England', 'Dunedin', 'ODI # 17', 'Draw', 'Draw', 'Mar 8, 1975', 64153]
[1975, 'New Zealand', 'England', 'Wellington', 'ODI # 18', 'Draw', 'Draw', 'Mar 9, 1975', 64154]
[1975, 'England', 'India', "Lord's", 'ODI # 19', 'England', '202 runs', 'Jun 7, 1975', 65035]
[1975, 'East Africa', 'New Zealand', 'Birmingham', 'ODI # 20', 'New Zealand', '181 runs', 'Jun 7, 1975', 65036]
[1975, 'Australia', 'Pakistan', 'Leeds', 'ODI # 21', 'Australia', '73 runs', 'Jun 7, 1975', 65037]
[1975, 'Sri Lanka', 'West Indies', 'Manchester', 'ODI # 22', 'West Indies', '9 wickets', 'Jun 7, 1975', 65038]
[1975, 'England', 'New Zealand', 'Nottingham', 'ODI # 23', 'England', '80 runs', 'Jun 11, 1975', 65039]
[1975, 'East Africa', 'India', 'Leeds', 'ODI # 24', 'India', '10 wickets', 'Jun 11, 1975', 65040]
[1975, 'Australia', 'Sri Lanka', 'The Oval', 'ODI # 25', 'Australia', '52 runs', 'Jun 11, 1975', 65041]
[1975, 'Pakistan', 'West Indies', 'Birmingham', 'ODI # 26', 'West Indies', '1 wicket', 'Jun 11, 1975', 65042]
[1975, 'England', 'East Africa', 'Birmingham', 'ODI # 27', 'England', '196 runs', 'Jun 14, 1975', 65043]
[1975, 'India', 'New Zealand', 'Manchester', 'ODI # 28', 'New Zealand', '4 wickets', 'Jun 14, 1975', 65044]
[1975, 'Australia', 'West Indies', 'The Oval', 'ODI # 29', 'West Indies', '7 wickets', 'Jun 14, 1975', 65045]
[1975, 'Pakistan', 'Sri Lanka', 'Nottingham', 'ODI # 30', 'Pakistan', '192 runs', 'Jun 14, 1975', 65046]
[1975, 'England', 'Australia', 'Leeds', 'ODI # 31', 'Australia', '4 wickets', 'Jun 18, 1975', 65047]
[1975, 'New Zealand', 'West Indies', 'The Oval', 'ODI # 32', 'West Indies', '5 wickets', 'Jun 18, 1975', 65048]
[1975, 'Australia', 'West Indies', "Lord's", 'ODI # 33', 'West Indies', '17 runs', 'Jun 21, 1975', 65049]
[1975, 'Australia', 'West Indies', 'Adelaide', 'ODI # 34', 'Australia', '5 wickets', 'Dec 20, 1975', 64155]
